,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5),
 iteration 20,19.027213177874145,0.0,18.519784779776714,18.148645304595846,15.833434022946939,17.838081107248506,18.343693147282682,16.740386319216103,18.086267200537602,18.96556694344518,0.0,16.647304259174085,17.80586911610845,17.295382683708066,16.791781575001842,18.49215836177482,19.435566149480366,19.058276104130186,17.295382683708066,16.933198205068436,16.5521661919744,17.0850067009744,18.937193028990432,19.862755557185128,16.836729492417874,0.0,0.0,0.0,17.489823202906024,19.256309319610413,16.332288009339383,15.88972181394007,15.454563825388957,15.026878914667593,17.629650740202422,18.739465395450203,
 iteration 21,19.836941046095404,0.0,19.29784412393604,18.918199558713408,16.510724018772766,18.541813388216656,19.144181175690942,17.53173262243672,18.857125203179653,19.727660573016877,0.0,17.390320917787577,18.597215419329064,18.077624120097493,17.555251626623647,19.246398133663668,20.18513113993004,19.79980599729481,18.077624120097493,17.705827544012333,17.30805187853962,17.8314265677071,19.678347893188924,20.597857817664238,17.61115074261596,0.0,0.0,0.0,18.223118651134758,19.98396676069385,17.098010360656506,16.647789124800088,16.205052624268685,15.769723703524985,18.351080762938945,19.459265744150056,
 iteration 22,20.63857163563445,0.0,20.067280870739644,19.679226602667097,17.180509147170845,19.24239749976201,19.936664201437125,18.315164365049093,19.619526118494328,20.481318951771947,0.0,18.12472989157943,19.380647161941436,18.85203426700449,18.310409493513653,19.992263132514307,20.92603870667569,20.532791373368095,18.85203426700449,18.470659667876422,18.055750856185583,18.569548177139406,20.41099584917271,21.324662446862206,18.377818986505517,0.0,0.0,0.0,18.948010168315818,20.703398373886827,17.856066786372573,17.398267141517497,16.94802799568706,16.5052434658821,19.06434847156107,20.17092931947377,
 iteration 23,21.432185919278105,0.0,20.828190689493063,20.431821035967975,17.842872666056554,19.939324431554315,20.721222276150392,19.090760707284417,20.37356291232509,21.226635565032247,0.0,18.85066728624026,20.15624350417676,19.618691554861208,19.057346340611648,20.729850487186987,21.6584241998821,21.257359894509424,19.618691554861208,19.22777351014371,18.795353148805454,19.29947013665193,21.135261092074522,22.043247726486097,19.13681187077817,0.0,0.0,0.0,19.664616230601084,21.414685645221294,18.60653406051743,18.14123186995027,17.683565184146655,17.23342183208881,19.769543526537284,20.874537842770362,
 iteration 24,22.21786406008532,0.0,21.58066818689915,21.17607640752315,18.497896908697935,20.632154129852676,21.49793465094762,19.858600017502933,21.11932752669511,21.96370286083934,0.0,19.568261159127037,20.924082814395277,20.377673630436547,19.79615228878726,21.459255738163023,22.382416913941196,21.973634350319987,20.377673630436547,19.977247166450706,19.52694762572667,20.02128920768743,21.85126335232461,22.753695878935574,19.888206265719823,0.0,0.0,0.0,20.373051460747508,22.117913109607883,19.3494881895664,18.876758556386743,18.411738683119342,17.954314559784105,20.46675087521532,21.570174765890027,
 iteration 25,22.99568541948447,0.0,22.324806918871936,21.91208522731446,19.14566329399415,21.320507184452314,22.26687978440831,20.61875988039739,21.856910891129008,22.69261226147792,0.0,20.277634114960584,21.684242677289735,21.12905735930531,20.526916422423543,22.18057291139062,23.098140714750777,22.681733138778917,21.12905735930531,20.719157922087973,20.250622072407214,20.735100402869822,22.55911827798135,23.456092114707268,20.632078269182333,0.0,0.0,0.0,21.073427168626413,22.81316764239335,20.08500441704177,19.604921692461662,19.13262223968727,18.66799109666957,21.156056040925236,22.25792562265024,
 iteration 26,23.765728565289624,0.0,23.060699402219026,22.639938977947914,19.786252336640167,22.004057678728106,23.028135350525147,21.371317104346485,22.58640293377408,23.413454174864693,0.0,20.978904200675096,22.436799901238828,21.87291883463909,21.249726806406017,22.893894591087363,23.805714591339378,23.38177065643592,21.87291883463909,21.45358226683175,20.966463214974024,21.44099708394377,23.25893778700724,24.150523846432254,21.368503214332264,0.0,0.0,0.0,21.765851613600688,23.500537792717758,20.813157230591997,20.32579502173627,19.8462888606732,19.374523014793752,21.837545950937056,22.93787761761761,
 iteration 27,24.528071279636727,0.0,23.788437126193994,23.35972812607409,20.419743657178053,22.682526907613582,23.781778246504583,22.116347729191205,23.307892592447175,24.126318005814554,0.0,21.67218539163092,23.181830526083548,22.609333385703785,21.964670502920487,23.599311984936858,24.505253137836693,24.073857640950614,22.609333385703785,22.1805959049445,21.674556744212968,22.139071050660792,23.950830379978875,24.83708003430751,22.097555677915185,0.0,0.0,0.0,22.450430212168797,24.18011321965532,21.534020369889323,21.03945154725612,20.552810819840143,20.073981726242557,22.511308713300625,23.610119116727915,
 iteration 28,25.28279056684036,0.0,24.508110563920184,24.071542133681763,21.046215991936588,23.35567782845516,24.52788460053145,22.853927033995515,24.021467825565985,24.83129216718263,0.0,22.35758795917581,23.919409830887858,23.338375585837362,22.67183358735491,24.296914982202612,25.196866974858832,24.75810147393875,23.338375585837362,22.900273764658174,22.374987337901672,22.829412619974647,24.63490141686213,25.515850641837364,22.819309488210397,0.0,0.0,0.0,23.127265721905395,24.851984223549707,22.247666834460034,21.74596353924906,21.252259665413604,20.766438036803606,23.177433209533902,24.27473918535129,
 iteration 29,26.029962661171957,0.0,25.21980918368738,24.775469469265985,21.665747202860384,24.02331015311195,25.266529779466364,23.584129544700815,24.727215622956873,25.528464090882476,0.0,23.0352187832763,24.64961234159316,24.060119260240842,23.371301163383748,24.98679220566494,25.88066311836896,25.434606449210055,24.060119260240842,23.61269000732686,23.06783868150278,23.51211069662476,25.311253362255968,26.18692618493841,23.533837732776405,0.0,0.0,0.0,23.796458407506783,25.51624135894582,22.95416889135611,22.445402542725354,21.944706227590377,21.451962063538694,23.836008704885252,24.931827197418507,
