,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5)
 iteration 203,87.12996589,0,81.95922954,80.98957032,75.21127425,78.52597534,85.66920294,83.29616269,82.00945557,82.0654613,0,77.55703003,84.36164549,83.07925951,80.65339808,80.94888377,81.01382325,79.94893062,83.07925951,81.86585155,79.74127829,78.89985779,79.8569539,80.14831146,81.96278386,0,0,0,77.73361687,78.936123,80.72660792,79.64011556,78.56747099,77.50849855,76.88682935,77.77766895
 iteration 204,87.25866623,0,82.08342,81.11251677,75.33153993,78.64479,85.79643485,83.4219432,82.13380153,82.18839097,0,77.67584499,84.487426,83.20360739,80.77633001,81.07043082,81.13398815,80.06774558,83.20360739,81.98880073,79.86283056,79.02003987,79.9757854,80.26594009,82.08588825,0,0,0,77.85112628,79.05256223,80.84832912,79.76061955,78.68676994,77.6266045,77.00311509,77.8929269
 iteration 205,87.38607957,0,82.20636855,81.23423376,75.45060298,78.76241655,85.92239445,83.54646591,82.25690402,82.31009134,0,77.79347181,84.61194871,83.32671178,80.89803263,81.1907624,81.2529514,80.18537239,83.32671178,82.11052042,79.98316731,79.13902014,80.09342857,80.38239243,82.2077616,0,0,0,77.96746059,79.16783706,80.96883311,79.87991849,78.80487589,77.7435294,77.11823796,78.00703228
 iteration 206,87.51221877,0,82.32808761,81.35473358,75.56847542,78.87886685,86.04709444,83.66974339,82.37877549,82.43057471,0,77.90992235,84.73522619,83.44858513,81.01851822,81.30989066,81.37072502,80.30182294,83.44858513,82.23102291,80.10230069,79.2568106,80.20989532,80.49768025,82.32841622,0,0,0,78.08263156,79.28195915,81.08813205,79.99802445,78.92180079,77.85928505,77.23220961,78.1199966
 iteration 207,87.63709659,0,82.44858949,81.4740284,75.68516916,78.99415268,86.17054744,83.7917881,82.49942825,82.54985325,0,78.02520839,84.85727089,83.56923974,81.13779895,81.42782764,81.48732091,80.41710898,83.56923974,82.35032038,80.22024274,79.37342316,80.3251974,80.6118152,82.44786429,0,0,0,78.19665082,79.39494002,81.20623801,80.11494935,79.03755644,77.97388314,77.34504154,78.23183127
 iteration 208,87.76072562,0,82.56788635,81.59213027,75.80069599,79.10828567,86.29276591,83.91261236,82.61887448,82.667939,0,78.13934157,84.97809515,83.68868781,81.25588688,81.54458526,81.60275083,80.53124215,83.68868781,82.46842487,80.33700536,79.4888696,80.43934646,80.72480879,82.56611788,0,0,0,78.30952989,79.50679108,81.32316291,80.23070499,79.15215453,78.08733525,77.45674516,78.3425476
 iteration 209,87.88311836,0,82.68599023,81.70905112,75.91506756,79.22127734,86.41376219,84.03222837,82.73712625,82.78484389,0,78.25233342,85.09771117,83.8069414,81.37279392,81.66017529,81.71702646,80.644234,83.8069414,82.58534832,80.45260036,79.60316156,80.55235402,80.83667245,82.68318893,0,0,0,78.42128016,79.61752363,81.43891856,80.34530308,79.26560664,78.19965284,77.56733173,78.45215677
 iteration 210,88.00428718,0,82.80291308,81.82480277,76.02829544,79.33313912,86.53354851,84.15064823,82.8541955,82.90057973,0,78.36419535,85.21613103,83.92401246,81.4885319,81.77460942,81.83015933,80.75609593,83.92401246,82.70110253,80.56703941,79.71631061,80.66423151,80.94741747,82.79908927,0,0,0,78.53191293,79.72714885,81.55351665,80.4587552,79.37792423,78.31084725,77.67681244,78.56066985
 iteration 211,88.12424431,0,82.9186667,81.93939689,76.14039106,79.4438823,86.65213697,84.26788389,82.97009405,83.01515822,0,78.47493865,85.33336669,84.0399128,81.6031125,81.88789922,81.94216087,80.86683924,84.0399128,82.81569921,80.68033407,79.82832817,80.77499023,81.05705504,82.91383061,0,0,0,78.64143938,79.83567783,81.66696876,80.57107278,79.48911864,78.42092972,77.78519835,78.66809779
 iteration 212,88.24300187,0,83.03326278,82.05284508,76.25136573,79.55351805,86.76953954,84.38394719,83.08483362,83.12859091,0,78.58457453,85.44942999,84.15465414,81.71654729,82.00005611,82.0530424,80.97647511,84.15465414,82.92914991,80.79249578,79.93922556,80.88464136,81.16559623,83.02742454,0,0,0,78.74987056,79.94312151,81.77928635,80.6822672,79.59920111,78.52991137,77.89250039,78.77445145
 iteration 213,88.36057185,0,83.14671291,82.16515879,76.36123066,79.66205746,86.88576809,84.49884986,83.1984258,83.24088929,0,78.69311405,85.56433266,84.26824806,81.82884773,82.11109144,82.16281511,81.08501463,84.26824806,83.04146611,80.90353588,80.04901397,80.99319598,81.27305202,83.13988253,0,0,0,78.85721743,80.04949075,81.89048076,80.79234967,79.70818276,78.63780319,77.99872941,78.87974158
